Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
scarce forester,54.001,165,Jordanita globulariae,Scarce Forester,Macro-moth,3,globulariae
54.002,54.002,163,Adscita statices,Forester,Macro-moth,3,statices
163,54.002,163,Adscita statices,Forester,Macro-moth,3,statices
adscita statices,54.002,163,Adscita statices,Forester,Macro-moth,3,statices
adsta,54.002,163,Adscita statices,Forester,Macro-moth,3,statices
forester,54.002,163,Adscita statices,Forester,Macro-moth,3,statices
54.003,54.003,164,Adscita geryon,Cistus Forester,Macro-moth,3,geryon
164,54.003,164,Adscita geryon,Cistus Forester,Macro-moth,3,geryon
adger,54.003,164,Adscita geryon,Cistus Forester,Macro-moth,3,geryon
adscita geryon,54.003,164,Adscita geryon,Cistus Forester,Macro-moth,3,geryon
cistus forester,54.003,164,Adscita geryon,Cistus Forester,Macro-moth,3,geryon
54.004,54.004,172,Zygaena purpuralis,Transparent Burnet,Macro-moth,1,purpuralis
172,54.004,172,Zygaena purpuralis,Transparent Burnet,Macro-moth,1,purpuralis
transparent burnet,54.004,172,Zygaena purpuralis,Transparent Burnet,Macro-moth,1,purpuralis
zygaena purpuralis,54.004,172,Zygaena purpuralis,Transparent Burnet,Macro-moth,1,purpuralis
zypur,54.004,172,Zygaena purpuralis,Transparent Burnet,Macro-moth,1,purpuralis
54.005,54.005,167,Zygaena loti,Slender Scotch Burnet,Macro-moth,2,loti
167,54.005,167,Zygaena loti,Slender Scotch Burnet,Macro-moth,2,loti
slender scotch burnet,54.005,167,Zygaena loti,Slender Scotch Burnet,Macro-moth,2,loti
zygaena loti,54.005,167,Zygaena loti,Slender Scotch Burnet,Macro-moth,2,loti
zylot,54.005,167,Zygaena loti,Slender Scotch Burnet,Macro-moth,2,loti
54.006,54.006,166,Zygaena exulans,Scotch Burnet or Mountain Burnet,Macro-moth,2,exulans
166,54.006,166,Zygaena exulans,Scotch Burnet or Mountain Burnet,Macro-moth,2,exulans
scotch burnet or mountain burnet,54.006,166,Zygaena exulans,Scotch Burnet or Mountain Burnet,Macro-moth,2,exulans
